"pol"	"place"	"time1"	"time2"	"PolPop_CC1"	"PolTerr_CC2"	"CapPol_CC3"	"HComplex_CC4_agg"	"Gov_CC5_agg"	"Infrastr_CC6_agg"	"InfoSys_CC7_agg"	"Texts_CC8_agg"	"Money_CC9_agg"
"Galilee -300 -199"	"Galilee"	-300	-199	7e+06	1e+06	1e+05	5.5	0.909090909090909	1	1	1	0.833333333333333
"Galilee -538 -331"	"Galilee"	-538	-331	2.6e+07	4e+06	2e+05	5.875	1	1	0.857142857142857	1	0.77
"Galilee -721 -539"	"Galilee"	-721	-539	6e+06	1400000	10000	4.375	0.454545454545455	0.912153057703466	0.82021053927604	0.812511506488813	0.436666666666667
"Garo Hills 1775 1867"	"Garo Hills"	1775	1867	2500	1720265.20347003	2500	1.5	0	0	0.174242424242424	0	0.27
"Garo Hills 1868 1956"	"Garo Hills"	1868	1956	138000	8000	8000	2	0.12940273728412	0	0.844664959453692	0.454577464788732	0.5
"Ghanaian Coast 1501 1701"	"Ghanaian Coast"	1501	1701	14965144.9772727	1720265.20347003	170408.662280702	3.625	0.0909090909090909	0.313003855590606	0.317099567099567	0	0.5
"Ghanaian Coast 1702 1895"	"Ghanaian Coast"	1702	1895	3e+06	259000	13500	5	0.461584838121487	0.444444444444444	0.888528138528139	0.375	0.5
"Chuuk Islands 1775 1885"	"Chuuk Islands"	1775	1885	14965144.9772727	1720265.20347003	150	1.75	0	0.111111111111111	0	0	0.166666666666667
"Chuuk Islands 1886 1948"	"Chuuk Islands"	1886	1948	9200	127	170408.662280702	2.5	0.411307306468597	0.424114966701717	0.714285714285714	0.375	0.5
"Iceland 1262 1380"	"Iceland"	1262	1380	70000	103000	250	3.75	0.545454545454545	0	0.859084299923995	1	0.5
"Iceland 930 1261"	"Iceland"	930	1261	32500	103000	250	2	0.411307306468597	0	0.859084299923995	1	0.5
"Kachi Plain -1300 -551"	"Kachi Plain"	-1300	-551	1125	1720265.20347003	170408.662280702	2.75510731251393	0.375951004452601	0.946573004691086	0.256270447110142	0	0.398805156573499
