"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Deccan -1200 -301"	"Deccan"	-1200	-301	12750	1720265.20347003	5250	6576506.57777778	-0.583580756161577	0.0216746890718601	0.442769607706788
"Deccan -205 -101"	"Deccan"	-205	-101	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.540853164370009	0.220726595268001	0.810896151776537
"Deccan -2700 -1201"	"Deccan"	-2700	-1201	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.414389681584915	0.0519805637944594	-0.130538971311337
"Deccan -300 -206"	"Deccan"	-300	-206	1.8e+07	4e+06	50000	1700000	-0.804390416427676	0.493454404581236	0.854863089044216
"Deccan 1192 1253"	"Deccan"	1192	1253	14965144.9772727	150000	170408.662280702	6576506.57777778	-0.703024037162457	0.217767446625648	0.776000160800921
"Deccan 1280 1310"	"Deccan"	1280	1310	14965144.9772727	20000	170408.662280702	6576506.57777778	-0.738854259813264	0.203139291372713	0.750108116925129
"Deccan 1337 1646"	"Deccan"	1337	1646	2.5e+07	360000	175000	6576506.57777778	-0.759514333716498	0.531586282065426	0.769666811916105
"Deccan 1687 1720"	"Deccan"	1687	1720	1.3e+08	3850000	4e+05	6576506.57777778	-0.736474502740312	0.80474999578858	0.918575888568914
"Deccan 1780 1840"	"Deccan"	1780	1840	107500000	22700000	3700000	6576506.57777778	-0.839114503465924	0.868761289728553	0.540923953910413
"Deccan 286 335"	"Deccan"	286	335	6500000	950000	170408.662280702	6576506.57777778	-0.7086263267144	0.249324690034342	0.871479712475193
"Deccan 451 540"	"Deccan"	451	540	725000	75000	170408.662280702	6576506.57777778	-0.656507705183689	0.312712266461996	0.857920687828044
"Deccan 541 756"	"Deccan"	541	756	3525000	750000	70000	6576506.57777778	-0.688050580364711	0.455752993751429	0.778695310262993
"Deccan 757 973"	"Deccan"	757	973	5500000	6e+05	1e+05	6576506.57777778	-0.70479628895144	0.466556836978336	0.750354087338434
"Deccan 974 1055"	"Deccan"	974	1055	7750000	3800000	87500	6576506.57777778	-0.666890149235349	0.375032809617654	0.777888593152073
"Finger Lakes 1300 1565"	"Finger Lakes"	1300	1565	45000	73218	1200	6576506.57777778	-0.204685159655733	0.46997170108246	-0.139255393335342
"Finger Lakes 1566 1713"	"Finger Lakes"	1566	1713	5500	1e+05	600	6576506.57777778	0.527890164937282	-0.894046282396637	0.702950262664781
