"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"95","Galilee -538 -331","Galilee",-538,-331,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
"96","Galilee -721 -539","Galilee",-721,-539,6e+06,1400000,10000,6576506.57777778,1.20569525110646,-1.1382132943725,1.32024046454897,-1.38552441085675,-0.120323167778173
"97","Garo Hills 1775 1867","Garo Hills",1775,1867,2500,1720265.20347003,2500,4771577,-7.89963488664243,0.542569933674377,0.364067698799599,-0.056089177178803,0.957467424910266
"98","Garo Hills 1868 1956","Garo Hills",1868,1956,138000,8000,8000,4771577,-5.53387314752209,-1.56957153541378,-1.49474771233428,-0.744957914915741,2.68669344005091
"99","Ghanaian Coast 1501 1701","Ghanaian Coast",1501,1701,14965144.9772727,1720265.20347003,170408.662280702,5112903,-3.49901204883476,2.74847018948525,0.799234333453953,1.02493675052033,-0.15715039000263
"100","Ghanaian Coast 1702 1895","Ghanaian Coast",1702,1895,3e+06,259000,13500,5112903,0.759395023849293,1.54724643344789,1.26626524385183,-1.65345034475119,0.0626699615337675
"101","Chuuk Islands 1775 1885","Chuuk Islands",1775,1885,14965144.9772727,1720265.20347003,150,6576506.57777778,-6.90444897562042,1.19519648077138,1.13519065400824,0.790416718214478,0.0304513361992341
"102","Chuuk Islands 1886 1948","Chuuk Islands",1886,1948,9200,127,170408.662280702,7400000,-3.7878545110981,-1.1757174651301,-1.78210157928715,0.269814279975468,1.82153548243179
"103","Iceland 1262 1380","Iceland",1262,1380,70000,103000,250,5600000,-1.18467221667698,-0.83006739082191,-3.36634260497915,-0.195642455162271,-0.215649214098561
"104","Iceland 930 1261","Iceland",930,1261,32500,103000,250,3400000,-3.28533513205608,-2.47347043186582,0.911290215020755,0.761592829525878,-1.20870198441647
"105","Kachi Plain -1300 -551","Kachi Plain",-1300,-551,1125,1720265.20347003,170408.662280702,6576506.57777778,-4.30286093477699,1.98066345246497,-1.03164961274558,0.859920875440028,-0.339866172208286
"106","Kachi Plain -145 -96","Kachi Plain",-145,-96,60000,105226,170408.662280702,6576506.57777778,0.175307726390617,-1.56282893482691,0.232778851052757,1.72715433588834,-2.64281896228479
"107","Kachi Plain -1800 -1301","Kachi Plain",-1800,-1301,14965144.9772727,1720265.20347003,1125,6576506.57777778,-7.56713767636691,-1.41212812635883,0.829724737261715,-1.09470587732256,0.0585951702418914
"108","Kachi Plain -2100 -1801","Kachi Plain",-2100,-1801,14965144.9772727,135000,1e+05,1250000,-5.65554947330949,-0.705882755377971,0.146243930932315,0.173142829465097,-2.18538062855507
"109","Kachi Plain -2500 -2101","Kachi Plain",-2500,-2101,14965144.9772727,135000,1e+05,1250000,-5.61332520313639,-0.759205740358079,0.0767201411976555,0.238705710344065,-2.19090229134836
"110","Kachi Plain -303 -194","Kachi Plain",-303,-194,1.8e+07,4e+06,50000,1700000,3.9344273692533,-0.331826421415034,1.29593106622687,0.910852777910536,-0.24612686867849
"111","Kachi Plain -3200 -2501","Kachi Plain",-3200,-2501,14965144.9772727,1720265.20347003,2850,6576506.57777778,-7.64330039942307,-0.197724764684033,0.307086527768084,-0.0203598959582183,-0.274423668414963
"112","Kachi Plain -4000 -3201","Kachi Plain",-4000,-3201,14965144.9772727,1720265.20347003,2450,6576506.57777778,-7.82366055613855,0.0154445677655398,1.14458861135089,0.0800142448131575,-0.908407457570197
"113","Kachi Plain -550 -329","Kachi Plain",-550,-329,2.6e+07,4e+06,2e+05,2750000,5.06386760683625,-0.270911268255456,1.16034850716073,0.769798398003458,-1.27573966668128
