"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"ML11"	"ML6"	"ML1"	"ML4"	"ML2"	"ML3"	"ML7"	"ML5"	"ML9"	"ML12"	"ML8"	"ML10"
"Cuzco 1000 1249"	"Cuzco"	1000	1249	14965144.9772727	600	170408.662280702	6576506.57777778	-0.916883647319414	-0.422948320973802	-1.71267702846717	0.729734139485734	-2.34492417637085	-1.05583019783006	-0.564423124737334	-0.976615886960895	-0.795153824308343	-0.0462130929654692	-0.0972426191105253	-0.518521614150549
"Cuzco 1250 1399"	"Cuzco"	1250	1399	14965144.9772727	2550	170408.662280702	6576506.57777778	-0.806308547523022	0.309688813774902	-1.94998533158875	0.507594062336564	-2.4671196985611	-1.16582989261995	-0.522756675599376	-0.8433477670793	-0.273785580567357	0.0658130991652005	0.411203109481606	-0.554806672365725
"Cuzco 1400 1531"	"Cuzco"	1400	1531	1e+07	1250000	60000	6576506.57777778	-0.585612525108097	0.396863197562826	-2.13476873866903	1.01406763403696	-2.61093269968349	-1.17954675829244	-0.551125115820109	-1.10865977762998	-0.0542327151869439	0.123895330997381	0.794333237556064	-0.340007226299774
"Cuzco 1532 1700"	"Cuzco"	1532	1700	2.9e+07	7100000	224000	6576506.57777778	0.687731154110652	1.0354921916189	0.629263590375212	0.619592888119311	0.00934616750203646	0.917126692805323	2.7616390746006	-0.974515755859631	0.225743346341603	0.421815093959778	0.219099256779453	1.0440731762749
"Cuzco 200 499"	"Cuzco"	200	499	14965144.9772727	700	170408.662280702	6576506.57777778	-1.09546094499781	-1.09983299989992	-1.3966095679243	0.180896611172208	-1.99541535144301	-1.16889478760538	-0.451098201736155	0.0486467595886798	-1.11824320486915	0.0731876088790064	-0.61080765379901	-0.836238945775119
"Cuzco 500 649"	"Cuzco"	500	649	14965144.9772727	1000	170408.662280702	6576506.57777778	-0.977710109142912	-0.656413523221058	-1.66834827693376	0.102446052667574	-2.25999893507121	-1.11337675816159	-0.422218861385003	-0.0856162506653124	-0.550335206432466	0.206466562222972	-0.10311239731508	-0.617114125413172
"Cuzco 650 999"	"Cuzco"	650	999	3e+05	170000	50000	720000	-0.616935451895373	-0.145912614465747	-1.92477522573206	0.610881983665859	-2.4974465106287	-1.16836405546052	-0.414718532945247	-0.324329156594804	-0.30697649470437	0.301811026542306	0.421153937422885	-0.397515618276017
"Deccan -100 203"	"Deccan"	-100	203	8250000	1400000	84000	6576506.57777778	0.742228510264721	0.458300428288913	0.626643101648581	0.630907232638226	0.873232277981254	0.49082174960049	-0.406353887775608	-0.799711571183923	-0.158074314138748	0.13790787133792	-0.0307090277220957	-2.25476012780282
"Deccan -1200 -301"	"Deccan"	-1200	-301	12750	1720265.20347003	5250	6576506.57777778	0.241326860686638	-0.147920495630291	-0.171328971542121	0.529371579840643	-0.0287035539933069	-0.171700445927266	-0.516493234024588	-1.49895833787662	0.342688375447888	0.532634923141371	0.115769843239921	0.0707531028514851
"Deccan -205 -101"	"Deccan"	-205	-101	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	0.506874941771716	0.0610327074074817	-0.0886903109463312	0.48138478198765	0.837901884272693	0.5838626636581	-0.337420527759139	-0.181867073521178	0.649977800960624	0.314064060519764	0.498379537387782	-2.00804645982138
