"pol"	"place"	"time1"	"time2"	"Scale_agg"	"HComplex_agg"	"Gov_agg"	"Law_agg"	"Infrastr_agg"	"Money_agg"	"Info_agg"	"MilTech_agg"	"Norms_agg"	"MoralGods_agg"
"Deccan -205 -101"	"Deccan"	-205	-101	5618606.28100781	3.63010731251393	0.70533352681918	0.553512707619297	0.801492389489237	0.66644918949531	0.661193398446523	0.693788459031325	0.8	0.8
"Deccan -2700 -1201"	"Deccan"	-2700	-1201	5618606.28100781	3.39639720613096	0.282329109251232	0.553512707619297	0.790792222115956	0.166666666666667	0.194180054200187	0.346410429480378	0.98153435349697	0.630032818187169
"Deccan -300 -206"	"Deccan"	-300	-206	7350000	5.25	0.714285714285714	0.84963768115942	1	0.77	0.882312910962361	0.788658838612525	0.8	0.8
"Deccan 1192 1253"	"Deccan"	1192	1253	5095184.5465178	3.125	0.750719913848933	0.84963768115942	0.801492389489237	0.734440907921811	0.757430633670563	0.726314449665648	0.38153435349697	0.8
"Deccan 1280 1310"	"Deccan"	1280	1310	5051851.21318447	3	0.758353040035068	0.84963768115942	0.722488060484908	0.671107574588477	0.776431823908762	0.67445053090347	0.38153435349697	0.8
"Deccan 1337 1646"	"Deccan"	1337	1646	8511666.66666667	3.625	0.789197195879224	1	0.988967691095351	0.749296875	0.76169300609844	0.77771710650493	0.38153435349697	0.8
"Deccan 1687 1720"	"Deccan"	1687	1720	44750000	4.5	0.969155844155844	1	0.97983131646498	0.800130208333333	0.890870503668621	0.868485503366528	1	1
"Deccan 1780 1840"	"Deccan"	1780	1840	44633333.3333333	7.3717008797654	0.789197195879224	1	1	0.898805156573499	0.938892396742897	0.807104211141908	0.589010989010989	1
"Deccan 286 335"	"Deccan"	286	335	2540136.22076023	4.25	0.789197195879224	0.75	0.700010588747572	0.671107574588477	0.800143994802528	0.764224911981737	0.38153435349697	0.8
"Deccan 451 540"	"Deccan"	451	540	323469.554093567	4.125	0.711444989377634	0.553512707619297	0.811866695318089	0.671107574588477	0.754127523765156	0.733426459292767	0.38153435349697	0.8
"Deccan 541 756"	"Deccan"	541	756	1448333.33333333	5.125	0.789197195879224	0.84963768115942	0.853928649338746	0.671107574588477	0.751478214825489	0.768097288144748	0.38153435349697	0.8
"Deccan 757 973"	"Deccan"	757	973	2066666.66666667	5	0.701180743342021	0.84963768115942	0.906293662942437	0.77	0.75561547803938	0.74331020661341	0.38153435349697	0.8
"Deccan 974 1055"	"Deccan"	974	1055	3879166.66666667	4.75	0.671625613351361	0.84963768115942	0.801492389489237	0.671107574588477	0.773122480840501	0.736444515976293	0.38153435349697	0.8
"Finger Lakes 1300 1565"	"Finger Lakes"	1300	1565	39806	3.64639720613096	0.491812852091609	0.553512707619297	0.799928596746327	0.58918054618893	0.628243751946886	0.436675181994536	0.668801845292891	0.705725125879477
"Finger Lakes 1566 1713"	"Finger Lakes"	1566	1713	35366.6666666667	2.25	0	0.25	0	0.333333333333333	0.189393939393939	0.48936170212766	0.989010989010989	0.1
"Finger Lakes 1714 1848"	"Finger Lakes"	1714	1848	37533.3333333333	2.75	0	0.25	0	0.5	0.424688057040998	0.340425531914894	0.989010989010989	0.1
"Galilee -103 -62"	"Galilee"	-103	-62	5009214.99242423	3.89639720613096	0.71090053782266	0.553512707619297	0.888888888888889	0.765341614906832	0.832537835083598	0.770192870597132	0.559831112385857	0.705725125879477
"Galilee -1030 -722"	"Galilee"	-1030	-722	83000	5.14128989361702	0.789197195879224	0.733026942904387	0.756045301499847	0.432008281573499	0.755950478415102	0.619253018864408	0.690470843025588	0.705725125879477
"Galilee -1180 -1031"	"Galilee"	-1180	-1031	31333.3333333333	5.51628989361702	0.666311793233916	0.75	0.777777777777778	0.765341614906832	0.730393817651795	0.634219388464103	0.389010989010989	0.705725125879477
"Galilee -200 -104"	"Galilee"	-200	-104	5820833.33333333	5.125	0.789197195879224	0.733026942904387	0.978679786797868	0.749296875	0.83954798326261	0.802709402664055	1	0.920872050147493
